지역명,연,월,대상가구수,평균사용량,평균금액
대전광역시,2020,8,782198,246.71,22697
대전광역시,2020,9,782823,287.47,31857
대전광역시,2020,10,782895,198.71,19037
대전광역시,2020,11,783452,207.74,20529
대전광역시,2020,12,785231,216.89,22094
대전광역시,2021,1,785115,243.91,26435
대전광역시,2021,2,785595,239.46,25654
대전광역시,2021,3,785755,203.39,19313
대전광역시,2021,4,785582,212.09,20810
대전광역시,2021,5,788383,197.17,18417
대전광역시,2021,6,788831,206.66,19732
대전광역시,2021,7,780409,230.3,23196
대전광역시,2021,8,786124,318.35,36882
대전광역시,2021,9,787918,245.85,24861
대전광역시,2021,10,789208,202.78,20578
대전광역시,2021,11,789851,207.46,21410
대전광역시,2021,12,790402,213.67,22387
대전광역시,2022,1,790611,235.0,26326
대전광역시,2022,2,790812,236.92,26779
대전광역시,2022,3,790900,207.82,21521
대전광역시,2022,4,790677,215.63,22071
대전광역시,2022,5,791172,193.76,19317
대전광역시,2022,6,792555,200.47,20223
대전광역시,2022,7,792378,254.18,27762
대전광역시,2022,8,791264,303.74,33306
대전광역시,2022,9,791349,257.91,26935
대전광역시,2022,10,791544,203.31,21468
대전광역시,2022,11,794329,203.86,22748
대전광역시,2022,12,794615,213.26,24126
대전광역시,2023,1,795389,238.31,29910
대전광역시,2023,2,795499,234.66,31302
대전광역시,2023,3,796919,198.01,24456
대전광역시,2023,4,796992,205.46,25728
