대상가구수,평균사용량,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
795499,234.66,31302,2.4,-2.9,8.8,3693,1445875,675760,2.14,721195,724680
796919,198.01,24456,10.2,3.0,17.8,3700,1445519,677326,2.13,721051,724468
796992,205.46,25728,13.7,7.6,19.9,3724,1445214,677706,2.13,720934,724280
797035,194.39,23889,19.0,13.2,25.0,3740,1445221,678666,2.13,720874,724347
798727,203.28,26525,23.6,18.9,29.2,3722,1445126,679151,2.13,720783,724343
801354,234.84,31395,25.8,22.6,30.2,3741,1444898,679611,2.13,720637,724261
808018,231.0,32462,0.3,-3.9,5.3,3825,1441562,680459,2.12,719008,722554
809324,230.71,32479,4.3,0.2,9.1,3837,1441536,682238,2.11,718931,722605
1692810,240.46,26621,6.4,3.1,10.9,10374,3411819,1499152,2.28,1674202,1737617
1695814,242.65,27035,7.1,3.1,11.8,10375,3410925,1502333,2.27,1673266,1737659
1697638,226.71,24090,10.4,6.4,15.0,10366,3409932,1505897,2.26,1672252,1737680
1701204,230.57,24828,12.6,8.9,17.5,10371,3408347,1507504,2.26,1671199,1737148
1701418,213.51,21771,17.9,15.0,21.8,10376,3406942,1511199,2.25,1670175,1736767
1704717,216.03,22054,22.4,19.5,26.6,10393,3404423,1513956,2.25,1668618,1735805
1705416,220.61,21000,22.1,20.3,24.8,10351,3402776,1517200,2.24,1667613,1735163
1716952,259.16,29547,3.3,-0.8,7.9,10499,3389388,1532700,2.21,1659527,1729861
1717002,250.07,27727,7.2,3.2,11.9,10507,3387761,1536242,2.21,1658540,1729221
1719544,215.0,21305,11.4,7.7,15.9,10534,3372399,1527830,2.21,1651804,1720595
1721700,223.05,22741,14.7,10.8,19.7,10613,3369704,1529794,2.2,1650252,1719452
1726843,209.14,20396,17.7,14.7,21.5,10645,3367334,1532053,2.2,1648965,1718369
1728096,217.02,21543,21.9,19.3,25.4,10679,3364358,1533514,2.19,1647291,1717067
1731034,242.02,24276,26.3,24.0,29.5,10682,3361781,1535294,2.19,1645794,1715987
1737741,248.57,28506,4.0,0.0,9.2,10763,3348874,1546414,2.17,1638207,1710667
1717997,250.85,29315,3.6,-0.5,8.8,10770,3347396,1549967,2.16,1637111,1710285
1722026,221.01,23670,10.5,6.8,14.8,10807,3343504,1551767,2.15,1634958,1708546
1726489,226.15,23949,14.9,11.4,19.1,10860,3340214,1553032,2.15,1633170,1707044
1728411,206.03,21192,19.0,15.3,23.4,10905,3338167,1555326,2.15,1631825,1706342
1730594,211.91,22059,21.7,19.4,24.9,10929,3336737,1556938,2.14,1630944,1705793
1733481,261.13,28750,26.2,23.7,29.7,10960,3334595,1558052,2.14,1629643,1704952
1740119,248.18,32034,3.8,-0.2,8.9,10928,3316107,1556086,2.13,1618749,1697358
1742852,244.58,33159,6.8,2.9,11.8,10955,3315516,1559593,2.13,1618202,1697314
1743998,208.12,25983,12.3,8.5,17.0,10945,3313539,1561008,2.12,1616930,1696609
1746937,216.4,27512,14.6,11.0,19.0,10960,3311402,1561666,2.12,1615593,1695809
1752949,205.92,25758,17.9,14.9,21.6,10979,3309261,1562595,2.12,1614226,1695035
1756039,214.66,28518,22.5,19.9,26.0,10992,3306993,1563362,2.12,1613071,1693922
1759506,242.69,32493,25.5,23.3,28.5,11004,3305052,1564252,2.11,1611959,1693093
1768983,242.59,34755,5.1,1.3,9.8,11051,3290964,1564763,2.1,1603859,1687105
1772699,241.62,34557,7.4,4.2,11.5,11074,3289401,1567409,2.1,1602971,1686430
4705280,233.97,26193,1.6,-1.7,5.9,11549,9733509,4334918,2.25,4745088,4988421
4707557,233.18,26031,2.5,-1.3,7.2,11529,9736962,4345877,2.24,4745133,4991829
4714415,220.35,23630,7.7,2.6,13.3,11529,9733655,4354006,2.24,4742217,4991438
4723785,221.53,23921,11.1,6.3,16.6,11527,9726787,4361645,2.23,4737843,4988944
4731749,208.21,21524,18.0,13.7,23.3,11560,9724496,4373610,2.22,4735431,4989065
4738702,222.3,24056,23.9,19.9,29.0,11550,9720846,4384076,2.22,4732275,4988571
4746749,237.6,24826,24.1,21.1,28.0,11589,9715429,4391545,2.21,4728872,4986557
4777855,257.2,30216,-2.4,-6.8,2.2,11650,9657969,4421022,2.18,4695999,4961970
4784548,245.3,27807,2.7,-2.2,7.9,11630,9648606,4427814,2.18,4690282,4958324
4787473,210.51,21305,9.0,4.3,14.8,11595,9598484,4400403,2.18,4667524,4930960
4793381,216.16,22312,14.2,9.5,19.5,11661,9588711,4403263,2.18,4661711,4927000
4798550,205.77,20498,17.1,12.8,21.9,11676,9575355,4403381,2.17,4654720,4920635
4803182,218.22,22594,22.8,18.9,27.6,11692,9565990,4405638,2.17,4649442,4916548
4809953,270.04,30938,28.1,24.6,32.2,11655,9558153,4409964,2.17,4645177,4912976
3995818,233.27,27293,-2.2,-6.2,2.6,11597,9505926,4430541,2.15,4615631,4890295
4761227,245.38,29316,-1.1,-5.3,3.8,11562,9508451,4442586,2.14,4615823,4892628
4764225,218.35,23943,7.7,3.2,12.7,11552,9506778,4451444,2.14,4613910,4892868
4768114,220.14,23731,14.8,10.0,20.6,11538,9500480,4455106,2.13,4610082,4890398
